epoch,loss,lr,val_loss
0,0.010170691646635532,0.001,0.00681048771366477
1,0.00840064324438572,0.001,0.0010871969861909747
2,0.008906934410333633,0.001,0.00231548142619431
3,0.007793723605573177,0.001,0.004176884423941374
4,0.011399367824196815,0.001,0.0015587146626785398
5,0.011172800324857235,0.001,0.0030698529444634914
6,0.009243601933121681,0.001,0.00132344092708081
7,0.011125963181257248,0.000100000005,0.0022791880182921886
8,0.008547751232981682,0.000100000005,0.0024906150065362453
9,0.010055764578282833,0.000100000005,0.0020097435917705297
10,0.008906292729079723,0.000100000005,0.001957627246156335
11,0.007968912832438946,0.000100000005,0.0027194232679903507
